asset_id,snapshot_date,material,diameter_mm,install_year,age_years,prior_break_count,break_within_horizon,horizon_years,street,snapshot_origin,snapshot_year,exclusion_reason
79022,1985-01-01,PVCO,300.0,2013.0,-28.0,0,0,5,BELMONT AVE W,negative_T_minus_H_minus_2y,1985,snapshot_before_installation
79022,1986-01-01,PVCO,300.0,2013.0,-27.0,0,0,5,BELMONT AVE W,negative_T_minus_H_minus_1y,1986,snapshot_before_installation
79022,1987-01-01,PVCO,300.0,2013.0,-26.0,0,1,5,BELMONT AVE W,positive_T_minus_H,1987,snapshot_before_installation
73300,1987-01-11,CPP,600.0,2006.0,-19.0,0,0,5,VICTORIA ST S,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
40440,1987-01-15,CI,150.0,1988.0,-1.0,0,0,5,WARREN RD,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
98342,1987-01-19,PVCO,200.0,2011.0,-24.0,0,0,5,WOOLWICH ST,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
134708,1987-01-21,PVC,150.0,2017.0,-30.0,0,0,5,ALICE AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
87330,1987-01-22,DI,300.0,1989.0,-2.0,0,0,5,HIDDEN VALLEY RD,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
4710,1987-01-27,PVC,150.0,2008.0,-21.0,0,0,5,BROADMOOR AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
133994,1987-02-05,PVC,150.0,2017.0,-30.0,0,0,5,FOURTH AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
133988,1987-02-07,PVC,150.0,2017.0,-30.0,0,0,5,FOURTH AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
83836,1987-02-12,PVC,150.0,1995.0,-8.0,0,0,5,FAIRWAY CRES,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
81074,1987-02-13,PVC,300.0,2008.0,-21.0,0,0,5,MARGARET AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
77126,1987-03-04,PVCO,150.0,2012.0,-25.0,0,0,5,LIBERTY AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
97012,1987-04-01,PVC,150.0,2013.0,-26.0,0,0,5,STIRLING AVE N,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
133956,1987-04-03,PVC,150.0,2016.0,-29.0,0,0,5,DUMFRIES AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
87366,1987-07-06,CPP,1200.0,1989.0,-2.0,0,0,5,BLEAMS RD,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
81902,1987-07-21,PVC,600.0,2008.0,-21.0,0,0,5,VICTORIA ST N,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
76156,1987-07-27,PVC,300.0,2008.0,-21.0,0,0,5,BREITHAUPT ST,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
83828,1987-08-06,PVC,150.0,1995.0,-8.0,0,0,5,FAIRWAY CRES,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
78514,1987-09-18,PVC,150.0,2012.0,-25.0,0,0,5,PANDORA AVE N,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
97148,1987-10-24,PVCO,300.0,2015.0,-28.0,0,0,5,HIGHLAND RD W,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
98392,1987-12-12,PVCO,150.0,2014.0,-27.0,0,0,5,MERNER AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
62530,1987-12-15,PVC,150.0,1999.0,-12.0,0,0,5,BROADMOOR AVE,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
80448,1987-12-19,PVC,150.0,2004.0,-17.0,0,0,5,WATERLOO ST,negative_T_minus_H_minus_5y,1987,snapshot_before_installation
81582,1988-01-01,PVC,150.0,2014.0,-26.0,0,0,5,QUEENS BLVD,negative_T_minus_H_minus_5y,1988,snapshot_before_installation
71140,1988-01-08,PVC,450.0,2004.0,-16.0,0,0,5,FISCHER HALLMAN RD,negative_T_minus_H_minus_5y,1988,snapshot_before_installation
73300,1988-01-11,CPP,600.0,2006.0,-18.0,0,0,5,VICTORIA ST S,negative_T_minus_H_minus_4y,1988,snapshot_before_installation
98342,1988-01-19,PVCO,200.0,2011.0,-23.0,0,0,5,WOOLWICH ST,negative_T_minus_H_minus_4y,1988,snapshot_before_installation
86556,1988-01-20,PVC,150.0,2010.0,-22.0,0,0,5,PLYMOUTH RD,negative_T_minus_H_minus_5y,1988,snapshot_before_installation
94754,1988-01-20,PVC,300.0,2001.0,-13.0,0,0,5,PRESTON ST,negative_T_minus_H_minus_5y,1988,snapshot_before_installation
134708,1988-01-21,PVC,150.0,2017.0,-29.0,0,0,5,ALICE AVE,negative_T_minus_H_minus_4y,1988,snapshot_before_installation
87330,1988-01-22,DI,300.0,1989.0,-1.0,0,0,5,HIDDEN VALLEY RD,negative_T_minus_H_minus_4y,1988,snapshot_before_installation
