asset_id,snapshot_date,material,diameter_mm,install_year,age_years,prior_break_count,break_within_horizon,horizon_years,street,snapshot_origin
19660,1985-01-01,CI,150.0,1956.0,29.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_5y
64610,1985-01-01,PVC,150.0,1970.0,15.0,0,0,5,INGLESIDE DR,negative_T_minus_H_minus_1y
19660,1986-01-01,CI,150.0,1956.0,30.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_4y
64610,1986-01-01,PVC,150.0,1970.0,16.0,0,1,5,INGLESIDE DR,positive_T_minus_H
96228,1986-01-01,CI,150.0,1963.0,23.0,0,0,5,HUGO CRES,negative_T_minus_H_minus_5y
19660,1987-01-01,CI,150.0,1956.0,31.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_3y
29860,1987-01-01,CI,150.0,1964.0,23.0,0,0,5,OWEN AVE,negative_T_minus_H_minus_5y
33540,1987-01-01,CI,150.0,1959.0,28.0,0,0,5,ROSS AVE,negative_T_minus_H_minus_5y
96228,1987-01-01,CI,150.0,1963.0,24.0,0,0,5,HUGO CRES,negative_T_minus_H_minus_4y
31890,1987-01-02,CI,150.0,1966.0,21.0,0,0,5,QUEENSTON DR,negative_T_minus_H_minus_5y
37550,1987-01-05,CI,150.0,1965.0,22.0,0,0,5,TECUMSEH CRES,negative_T_minus_H_minus_5y
20260,1987-01-07,CI,150.0,1967.0,20.0,0,0,5,INDIAN RD,negative_T_minus_H_minus_5y
17380,1987-01-09,CI,150.0,1953.0,34.0,0,0,5,GREENFIELD AVE,negative_T_minus_H_minus_5y
41030,1987-01-13,CI,150.0,1952.0,35.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_5y
7190,1987-01-13,CI,150.0,1964.0,23.0,0,0,5,CHRISTINE CRES,negative_T_minus_H_minus_5y
21430,1987-01-14,CI,250.0,1889.0,98.0,0,0,5,KING ST W,negative_T_minus_H_minus_5y
85016,1987-01-15,CI,150.0,1967.0,20.0,0,0,5,THALER AVE,negative_T_minus_H_minus_5y
290,1987-01-19,CI,150.0,1958.0,29.0,1,0,5,ABERDEEN RD,negative_T_minus_H_minus_5y
27560,1987-01-25,CI,150.0,1958.0,29.0,0,0,5,MUNROE ST,negative_T_minus_H_minus_5y
24610,1987-01-27,CI,150.0,1958.0,29.0,0,0,5,LYNDHURST DR,negative_T_minus_H_minus_5y
41030,1987-01-27,CI,150.0,1952.0,35.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_5y
41040,1987-01-27,DI,300.0,1965.0,22.0,0,0,5,WEBER ST E,negative_T_minus_H_minus_5y
